{2981, 莀폈ꪹ록Ḉ갅푎룶激枴, 1105, 10, 棨Ὦᦌ嶦ዷ, 5952098}
{1348, 㾁䭽늵뻵됎Ź槲먶☍邢, 570, 11, ꃩ꫎苔衝绚, 5629155}
{4163, 䇈頋䦅휿谂鎧⠗缭맥짜, 1126, 2, 븶䇲뭶섦뉚, 4674736}
{4025, 蜎礙呉묑췀郿郒㕯亊撕, 1994, 6, 椂豲괧跏උ, 3122094}
{3657, ⾕밙䳹偷힚矘謯젼䄘扮, 1928, 0, 究ῧd齽眡, 8997023}
"{6595, 躲롤鷡鮽呹뽎Ủ㘔觫눃, 2853, 9, ꩝维㌁䡧꿆, 9526444}"
{5991, ʿ뼼왮ḵ톀렮⵾సɽ鯓, 2338, 0, ᔈ⿍ꞵࢀ鈕, 456786}
{9169, 뫐諘ꬶꀏ嵌홡奉杼ᗬ⌭, 734, 6, ꑌ曯᱘䤦쵖, 6965021}
{6302, შ枺ḓ橫蕼戽噄⤗㯏딲, 1821, 11, 葛烏웚側뻬, 1309029}
{5271, 鞑ĩ쨱҆똵懭ⶍ햦ꮋ䝺, 412, 2, ͜햄㎳힖翖, 7588364}
{9632, 쎽麮蓨ẕⳠ冴驽弟劀쑡, 2766, 5, 韽軩法ɣ텅, 3408326}
{885, 쉜崸㓛伬䔓揖扴鞺ⷝ銴, 72, 10, 側刡⊯줆鵜, 1838088}
"{9479, ඼㙵塑蘣赹跢똎틻줾瘨, 710, 1, 壦雍蹑޲솈, 6044248}"
{6236, ꞩ잽졳螠ꀙ犦獛새㨀䐒, 1658, 6, 愌씌昩!읧, 9604614}
{8152, 䪕蘩纚ڑ맠试꨿价㹷嚒, 1603, 5, 誙蜽⮞蓹貒, 1318114}
{5210, 耚熀倻ꙹ墑㇖⌢ꪋ軠쪊, 2415, 1, ᅱ똺띩⿏퉗, 4956832}
"{2266, 隡뮜뵽黡ഘ뎵苭턺ꨨ繛, 2273, 4, 㠶䓻橘굍㞦, 6443334}"
{9734, 긞떴똜诎㋉誣᳤螔꣄帉, 2173, 11, 䅧랜쵟ሣᇭ, 5848413}
{7657, ᖫ摄ꉋ軵ִ픧煃頭켴弊, 2689, 0, ⓙ䑟⧎봊띇, 1898542}
{107, ۞㚮嬭䮱牊躀쨶फ़읙Ꚙ, 489, 10, 탰燹৻䯡⁖, 6580707}
{994, ꠽䯓槜ᬽ穣ఏŚ쬔⬚朑, 693, 2, 愝꽣䕍筹藲, 3824032}
{5903, 鲲ᙕ㝘囧ईi챰䜑렅餪, 87, 11, 剰⌒ߤ뼌῁, 6597490}
{7988, 鬕辱矨瘼ᐠ渕硚㙲럘伜, 2260, 3, 驺䮞읎徇㤎, 6186656}
{818, ䷲젉뾯ᑜ馧烾摿몯ᑱ徾, 1504, 0, ⦬☳䉪ఄ㾯, 2102561}
"{4428, ⚆䁃ᮇ澨ꓬ뇲溆뼾௙菆, 1312, 8, 뿷㖙䙩趂矜, 8323058}"
{9752, 蠊붹㩝㲿颚㒉䔏䅝ⲋඛ, 1125, 1, 흅驠 琂׆, 4798862}
{2246, 脝폦ꯓេ笢帾㱨嵥녶큃, 1703, 7, 띸넠ꖗ햚ɔ, 2467827}
{7195, 㿿슩斜究䶒䅕跄詪찜釤, 528, 3, 륪鋫㕉덨毫, 733175}
{8869, 뎪きꌬ⫯玞᫃燮琸쏎륷, 2011, 8, 痝㏥꾺ࣙ菿, 4521685}
{3361, 밣據佛贓ᕬ⫁ࠎ⤠얛⎼, 665, 10, ꖐ뷄へ팘튆, 3937026}
{403, ꨘ鸰찗鲜责鳯猯堠汤걤, 460, 3, 듂鐢Ⴚ䚾끎, 3327612}
{9982, ⻩邾궣⼤엟〭臚㨾᜿ꖰ, 2809, 1, 㼀낥悲㏖䏠, 2587743}
{5639, 얬衬自ߴꑠ봔⇉蕓㴀術, 278, 7, 箐䀜⿛⏝춾, 8767585}
{5631, 겞狺쌟઼핬᲻ᶂꛉ꼷ᝫ, 2610, 6, 涕蠵膚䶬帓, 1563409}
{403, 죊◔꫕ᄻ試褿鼳꬙㐲柆, 1254, 9, 昩጑쥩䅼蝑, 7710972}
{4175, ঁ⽬㶃踗䱘艚쯥ᛤ肓࡞, 2198, 10, 䭿똽轋휌᷾, 6555501}
{3483, 縈䧌턣鍧თ眺⡞鱑夕▿, 161, 2, ༻㹆헱4冹, 19424}
{6561, 鮡⯨묪쐛ך殝≁괇㫨䤬, 412, 0, 琈킏햄䴕羃, 9003100}
"{4689, 탧ꈠ鼴愐湰䙙᪇®˼今, 2021, 3, 澙㦲둛ຖᓖ, 8844495}"
{8493, ੵ穆첌枊簦聆࿀旝靣᫿, 1679, 1, 怂ᯁ㖹ꐆഀ, 4585010}
{5234, ∧賕썸閻⇍㒟㾐싦䡘늘, 2201, 6, 켒糺夊ꆆ㾊, 6012669}
{2934, 祥돥俲寸៖묛픻裭珇세, 1667, 7, 둎樞跥彽⸓, 7776278}
{92, 㙺䆢⁫鋮枒騺✃ᤜ沨彀, 2876, 4, 뎓癵紥ꆠ⟚, 4983848}
{4124, 촄㱏띿藪꥞줬㟔㛶칳咑, 715, 11, ȉ疎嬸梟樲, 2122972}
{3541, 芔璌ѹ螚萍杫쵸똚⼯ʸ, 842, 3, 늿앖柝ጉ就, 1343398}
{9159, ⬲ῆ蒻►⫂턵嶵秘౬夲, 2249, 7, 뉡꽠죃峮겦, 5556407}
{6045, 饉⤡硏κ枖㛅솮擮߫柟, 2642, 10, 菀濁䅨斥麮, 8355879}
{6681, 嘋ᘊ㱯毿쮚ڢ裉ᙪ䛒聧, 1687, 5, 瘀裺᷋ᔸ㭢, 7428483}
{9572, 高Ϗ࣮蔳盉歚卉ᆂᖍ뷆, 2088, 1, 岨噢괷轎Ḗ, 4124395}
{773, 璊飁쥼㧂쎹밦ʫ哀Ꟈڡ, 2688, 4, 쳻騄绅烉䰪, 5486872}
{3968, ן痈쪦뿲⤦밽췇럚ꬷᡗ, 2794, 11, ਸ畴⾱蹧謐, 1512731}
{9857, 앨慄둌똏덢䦇勫잵㘝݄, 763, 6, 읊窮ꝋ輣좔, 1028183}
"{4468, 曎仜멇÷埥‭쭹ꆏ틕吇, 2708, 5, 濄鯘䙭휟剏, 2605347}"
{151, ⁘㲐츯믇潸驂뉼㠳쒑춇, 2034, 1, Ἶ㨾Ī䍴鬠, 9679599}
{null, null, null, null, null, null}
